lad_name,IMD_score,income_score,employment_score,population,IMD_rank,IMD_decile,income_rank,income_decile,employment_rank,employment_decile,march_covid,april_covid,may_covid,sum_covid,sum_other,sum_all,covid/100k
Adur,17.593890029279347,0.10773278657557536,0.08817454270692315,63526,166.0,6,161.0,6,155.0,5,1,29,10,40,237,277,62.966344488870696
Allerdale,22.93810316672868,0.12117493488775889,0.1114328827152838,96756,104.0,4,131.0,5,82.0,3,8,39,15,67,389,456,69.24635164744305
Amber Valley,17.969648798595674,0.1086933439623796,0.094167850355912,124188,163.0,6,154.0,5,134.0,5,8,56,23,101,414,515,81.32830869327148
Arun,18.63834735073113,0.1035916024390401,0.0870113517098392,155307,154.0,5,170.0,6,157.0,6,3,34,24,67,718,785,43.14036070492637
Ashfield,26.30763362114309,0.15168080629890676,0.13195287148903112,123577,68.0,3,73.0,3,48.0,2,9,85,42,140,388,528,113.2896898290135
Ashford,18.545545478729842,0.10985755399163222,0.0826948011640749,124047,156.0,5,148.0,5,169.0,6,3,53,47,150,340,490,120.92190863140584
Aylesbury Vale,11.1832519917663,0.06747282985463039,0.05304366421006602,187522,271.0,9,268.0,9,278.0,9,6,90,32,136,461,597,72.52482375401286
Babergh,14.26682001112347,0.08034488320355951,0.0652807786429366,89900,213.0,7,228.0,8,227.0,8,4,41,8,59,332,391,65.62847608453838
Barking and Dagenham,32.768189807041814,0.19355907159492078,0.11760977050826926,203101,21.0,1,20.0,1,69.0,3,41,103,17,165,396,561,81.24036809272233
Barnet,16.148218737624678,0.110626971471416,0.07229500921384029,378778,186.0,6,147.0,5,203.0,7,91,311,48,453,838,1291,119.59511904070459
Barnsley,29.93271140063789,0.1693824393904651,0.14912016843509618,239855,38.0,2,43.0,2,28.0,1,8,124,85,243,847,1090,101.31120885535012
Barrow-in-Furness,31.116931186831373,0.1588975412258408,0.14854085643359535,67676,31.0,1,58.0,2,29.0,1,9,54,11,76,254,330,112.2997813109522
Basildon,23.24338964886151,0.13807425075981997,0.10191911558606438,181951,100.0,4,95.0,4,105.0,4,18,127,44,205,507,712,112.66769624789092
Basingstoke and Deane,12.823105477801997,0.07121177010439372,0.0582814098887232,174340,238.0,8,257.0,9,260.0,9,11,76,23,117,438,555,67.11024435012045
Bassetlaw,22.588079074388308,0.12159877265014374,0.11324638432930959,113741,106.0,4,129.0,5,76.0,3,0,38,19,69,372,441,60.664140459464925
Bath and North East Somerset,11.745261553989154,0.07854601789599917,0.06392143775741098,184287,260.0,9,233.0,8,235.0,8,10,64,13,90,559,649,48.83686857998665
Bedford,18.932257735183878,0.1139451332864079,0.08915605128112575,166221,148.0,5,141.0,5,150.0,5,17,70,55,166,474,640,99.86704447693131
